PTS,REB,AST,STL,BLK
16,3,5,1,0
22,4,6,1,0
24,6,9,1,1
27,8,10,1,1
29,10,10,2,1
30,10,10,1,1
31,11,9,1,1
31,12,9,1,1
27,10,10,2,1
28,10,10,2,1
28,9,11,2,1
29,9,11,2,1
31,10,10,2,1
31,11,10,2,1
30,11,11,2,1
30,10,11,2,1
30,10,11,2,1
30,10,11,2,1
31,10,11,2,1
30,10,11,2,1
29,10,11,2,1
27,9,11,2,1
27,9,11,2,1
28,8,10,2,1
29,10,10,2,1
29,10,10,2,1
30,10,10,2,1
31,11,10,2,1
31,11,10,2,1
31,11,10,2,1
29,10,10,2,1
30,10,10,2,1
